specie,instellation,planet_mass,T_inf,Lim_flux_disso[kg/s],Lim_flux_H[kg/s],Jeans_flux_H[kg/s],Jeans_flux_disso[kg/s],Lim_flux_disso[cgs],Lim_flux_H[cgs]
H2O,1000_F_earth,10_M_earth,2000,1791422.8402822467,1619737.281252427,18350.34218388269,18793.44244623272,114986393471.90746,103966380329.20526
H2O,1000_F_earth,10_M_earth,3000,4467588.074702162,4039425.4216015968,15347.448861733948,15492.3057722105,174613628712.4875,157879087996.79272
H2O,1000_F_earth,10_M_earth,4000,10129450.76424824,9158669.116264457,13162.15172465524,13478.139981730064,258913724793.47485,234100070204.44604
H2O,1000_F_earth,10_M_earth,5000,19541717.83240207,17668887.65796355,11821.863486321849,12105.091158255282,364382480681.91095,329460959927.6652
H2O,1000_F_earth,10_M_earth,6000,35864469.486455485,32427306.93910296,10807.466238719271,11065.930526303697,509297780035.321,460487933408.4722
H2O,1000_F_earth,10_M_earth,7000,70187428.7880118,63460838.23810184,10073.789863412969,10165.126974846886,736939973403.583,666313458847.5443
N2,1_F_earth,1_M_earth,200,4458.580331495565,0.8644657118716828,6.230935898961937e-19,4.153491774533436e-12,452513869585.52106,87737058.73139238
N2,1_F_earth,1_M_earth,300,4435.825006119231,0.8600537248516515,2.0196409272156035e-14,2.0552248234119705e-07,448297556695.4989,86919565.79576007
N2,1_F_earth,1_M_earth,500,4478.0390244219925,0.868238521058031,3.970530721580443e-10,0.001220406276019,448750423557.3148,87007371.29548775
N2,1_F_earth,1_M_earth,1000,4750.010752066566,0.920970605189478,0.0003297694547396,0.6422652124738116,466113435651.4269,90373852.88698092
N2,1_F_earth,1_M_earth,2000,5605.607363913801,1.0868606148211803,0.298187971900907,9.96939104326296,527791154492.4359,102332429.19609708
N2,1_F_earth,1_M_earth,3000,6804.878050566179,1.3193849411275391,2.393987567344308,20.69374292447057,615270281029.2175,119293591.6677768
N2,1_F_earth,1_M_earth,4000,8388.29434387229,1.62639053291037,6.151493338496797,27.05385989390322,728911367207.3883,141327247.03715995
N2,1_F_earth,1_M_earth,5000,10439.909620744673,2.024174340522825,10.23428328180544,30.221753953100084,872547303538.669,169176547.19978058
N2,1_F_earth,1_M_earth,6000,13077.930712147823,2.535655262959718,13.851814356493488,32.05079530426268,1052071709261.5762,203984194.8483622
N2,1_F_earth,1_M_earth,7000,16458.350424015895,3.1910784504712617,16.767929624352284,32.75058061926484,1275315009330.1223,247268416.27442428
N2,1_F_earth,10_M_earth,200,193197.5490491254,1391.2793252682789,5.288940043206304e-06,0.0068922857015775,52371055813.62116,377141260.61420685
N2,1_F_earth,10_M_earth,300,202122.44048600295,1455.55041461442,0.0014362445655713,1.839865076169913,53115951727.2045,382505501.9782722
N2,1_F_earth,10_M_earth,500,222993.0254595136,1605.8463863946663,0.3399452543301979,124.28123741969615,55151192633.3829,397161943.577261
N2,1_F_earth,10_M_earth,1000,291003.80403658433,2095.614453305377,148.8364043471451,1939.773244301585,62315048634.63461,448751235.4331647
N2,1_F_earth,10_M_earth,2000,511680.1931244939,3684.7779764658,2261.588175249896,5012.641754125834,84458230900.78703,608211600.4024504
