file,T_inf,weighted_mass_loss_kg_s,species,Mdot_kg_s,lambda_j,v_th_m_s,effusion_velocity_m_s,n_exo_m3,exobase_altitude_km,exobase_radius_m,T_exo_K,exobase_index,jeans_valid,escape_regime,atmosphere_type,mass_case,flux_case
H2_atmosphere_1_M_earth_1_F_earth.csv,500,0.000433135917579935,N2,1.3855815734146044e-118,278.69159214584,539.8098357081699,3.936358557306669e-117,1250386094.4097435,3504.793642292414,9816420.588492414,490.65410644397326,342,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,500,0.000433135917579935,NH3,2.5896999436399705e-71,169.20560951711715,692.780011104615,1.0886838117651312e-69,1391757207.4198146,3504.793642292414,9816420.588492414,490.65410644397326,342,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,500,0.000433135917579935,NO2,2.302988387518443e-218,457.8504728110229,421.1539645236613,7.844644481449094e-195,6.347831184614083e-14,3504.793642292414,9816420.588492414,490.65410644397326,342,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,500,0.000433135917579935,N2O,2.1197530087597846e-199,437.9439305148914,430.61928039119846,3.3905111850722746e-186,0.0014132927163524938,3504.793642292414,9816420.588492414,490.65410644397326,342,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,500,0.000433135917579935,H2S,1.5962377137536761e-142,338.4112190342343,489.86944372256494,5.024311664617034e-143,92940883663.55862,3504.793642292414,9816420.588492414,490.65410644397326,342,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,500,0.000433135917579935,S,3.274784978563767e-136,318.50467673810283,504.9458648076754,2.1542372921035213e-134,472502368.55017835,3504.793642292414,9816420.588492414,490.65410644397326,342,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,500,0.000433135917579935,S2,3.363904096246805e-274,637.0093534762057,357.05064513761295,1.4398087228300794e-272,363097743.27096975,3504.793642292414,9816420.588492414,490.65410644397326,342,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,500,0.000433135917579935,SO2,9.246138002626339e-279,637.0093534762057,357.05064513761295,1.4398087228300794e-272,9980.224604118019,3504.793642292414,9816420.588492414,490.65410644397326,342,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,OH,7.334281834060422e-35,80.14727070286165,978.0841228264372,3.487608991200456e-31,10967736.48760611,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
H2_atmosphere_1_M_earth_1_F_earth.csv,1000,5.444651216028172,H2,7.018238334152502,9.429090670924898,2851.580734656459,0.6741012546180607,4615397434075.243,4085.5983637003937,10397225.309900394,977.9961818651789,349,True,Jeans,H2,1_M_earth,1_F_earth
