Filename,Element,Planet mass,Earth Flux,Atmospheric mass [kg],Global mass loss [kg],m/M,Radius impactor [m]
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.5056062568249303e+21,0.36363636363636365,9338429.015568743
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.5633956971679234e+21,0.37373737373737376,9424107.462131375
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.62161382135699e+21,0.38383838383838387,9508255.731252147
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.6802263346844433e+21,0.393939393939394,9590940.36610704
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.739198942442599e+21,0.4040404040404041,9672223.397239298
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.79849734992377e+21,0.4141414141414142,9752162.752935955
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.8580872624202708e+21,0.42424242424242425,9830812.623253407
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.9179343852244157e+21,0.43434343434343436,9908223.783899214
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,1.9780044236285189e+21,0.4444444444444445,9984443.885221958
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.0382630829248943e+21,0.4545454545454546,10059517.710770797
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.0986760684058562e+21,0.4646464646464647,10133487.409229992
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.1592090853637182e+21,0.4747474747474748,10206392.702985892
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.219827839090795e+21,0.48484848484848486,10278271.076124886
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.280498034879401e+21,0.494949494949495,10349157.94427469
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.34118537802185e+21,0.5050505050505051,10419086.80837519
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.4018555738104555e+21,0.5151515151515152,10488089.394188663
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.4624743275375325e+21,0.5252525252525253,10556195.779124081
H2_atmosphere_1_M_earth_1_F_earth.csv,H2,1_M,1_F,4.62168341290125e+21,2.5230073444953946e+21,0.5353535353535354,10623434.507749509
