SEQ='N '     NUCCHG= 7                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  11835491.1   NPRNTI= 4   NPRNTF= 4
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P2             (3)1( 4.0)        0.0 
     2          2S2 2P2             (1)2( 2.0)    17957.0 
     3          2S2 2P2             (1)0( 0.0)    32477.5 
     4          2S1 2P3             (5)0( 2.0)    39696.0 

   LS RESOLVED TERM INDEXING            BWNR=  11943486.1   NTRM= 406
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   335     3    2S2 2P2 6F1         (2)3( 6.5)   137424.1*
   336     3    2S2 2P2 7P1         (2)1( 2.5)   137727.8*
   337     3    2S2 2P2 8S1         (2)0( 0.5)   138157.1*
   338     3    2S2 2P2 7G1         (2)4( 8.5)   138220.8*
   339     3    2S2 2P2 7D1         (2)2( 4.5)   138222.8*
   340     3    2S2 2P2 7H1         (2)5(10.5)   138226.7*
   341     3    2S2 2P2 7I1         (2)6(12.5)   138229.3*
   342     3    2S2 2P2 7F1         (2)3( 6.5)   138232.8*
   343     3    2S2 2P2 8P1         (2)1( 2.5)   138426.7*
   344     3    2S2 2P2 8G1         (2)4( 8.5)   138749.7*
   345     3    2S2 2P2 8D1         (2)2( 4.5)   138750.9*
   346     3    2S2 2P2 8H1         (2)5(10.5)   138753.6*
   347     3    2S2 2P2 8I1         (2)6(12.5)   138755.4*
   348     3    2S2 2P2 8J1         (2)7(14.5)   138756.3*
   349     3    2S2 2P2 8F1         (2)3( 6.5)   138757.7*
   350     4    2S1 2P3 4P1         (4)1( 5.5)   139024.9*
   351     4    2S1 2P3 5S1         (6)0( 2.5)   140196.7*
   352     4    2S1 2P3 4D1         (6)2(14.5)   140751.3*
   353     4    2S1 2P3 4F1         (6)3(20.5)   140832.0*
   354     4    2S1 2P3 4F1         (4)3(13.5)   140832.4*
   355     4    2S1 2P3 4D1         (4)2( 9.5)   140834.1*
   356     4    2S1 2P3 5S1         (4)0( 1.5)   140974.6*
   357     4    2S1 2P3 5P1         (6)1( 8.5)   141314.9*
   358     4    2S1 2P3 5P1         (4)1( 5.5)   142426.5*
   359     4    2S1 2P3 6S1         (6)0( 2.5)   142983.8*
