SEQ='C '     NUCCHG= 6                                                  /LS/

   PARENT TERM INDEXING                 BWNP=   8197449.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P1             (2)1( 2.5)        0.0 
     2          2S1 2P2             (4)1( 5.5)    41056.5 

   LS RESOLVED TERM INDEXING            BWNR=   8280378.5   NTRM= 354
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   250     2    2S1 2P2 6D1         (5)3(17.0)   120879.0*
   251     2    2S1 2P2 6D1         (5)1( 7.0)   120890.6*
   252     2    2S1 2P2 6D1         (3)1( 4.0)   120890.7*
   253     2    2S1 2P2 6D1         (5)2(12.0)   120920.6*
   254     2    2S1 2P2 6G1         (5)3(17.0)   120921.2*
   255     2    2S1 2P2 6G1         (3)3(10.0)   120921.2*
   256     2    2S1 2P2 6G1         (5)4(22.0)   120921.2*
   257     2    2S1 2P2 6G1         (3)4(13.0)   120921.2*
   258     2    2S1 2P2 6G1         (5)5(27.0)   120921.2*
   259     2    2S1 2P2 6G1         (3)5(16.0)   120921.2*
   260     2    2S1 2P2 6F1         (5)2(12.0)   120926.4*
   261     2    2S1 2P2 6F1         (3)2( 7.0)   120926.5*
   262     2    2S1 2P2 6H1         (5)4(22.0)   120929.1*
   263     2    2S1 2P2 6H1         (3)4(13.0)   120929.1*
   264     2    2S1 2P2 6H1         (5)5(27.0)   120929.1*
   265     2    2S1 2P2 6H1         (3)5(16.0)   120929.1*
   266     2    2S1 2P2 6H1         (5)6(32.0)   120929.1*
   267     2    2S1 2P2 6H1         (3)6(19.0)   120929.1*
   268     2    2S1 2P2 6D1         (3)3(10.0)   120930.7*
   269     2    2S1 2P2 6F1         (5)4(22.0)   120932.3*
   270     2    2S1 2P2 6F1         (3)4(13.0)   120933.0*
   271     2    2S1 2P2 6F1         (5)3(17.0)   120950.3*
   272     2    2S1 2P2 6F1         (3)3(10.0)   120951.1*
   273     2    2S1 2P2 6D1         (3)2( 7.0)   120981.9*
   274     2    2S1 2P2 7S1         (3)1( 4.0)   121072.8*
   275     2    2S1 2P2 7P1         (5)2(12.0)   121092.9*
   276     2    2S1 2P2 7P1         (5)1( 7.0)   121114.9*
   277     2    2S1 2P2 7P1         (3)0( 1.0)   121202.8*
   278     2    2S1 2P2 7P1         (3)2( 7.0)   121509.1*
   279     2    2S1 2P2 7P1         (3)1( 4.0)   121577.3*
   280     2    2S1 2P2 7P1         (5)0( 2.0)   121677.5*
   281     2    2S1 2P2 8S1         (5)1( 7.0)   121684.4*
   282     2    2S1 2P2 7D1         (5)3(17.0)   121708.5*
   283     2    2S1 2P2 7D1         (5)1( 7.0)   121716.5*
   284     2    2S1 2P2 7D1         (3)1( 4.0)   121716.6*
   285     2    2S1 2P2 7D1         (5)2(12.0)   121734.5*
   286     2    2S1 2P2 7G1         (5)3(17.0)   121735.9*
   287     2    2S1 2P2 7G1         (3)3(10.0)   121735.9*
   288     2    2S1 2P2 7G1         (5)4(22.0)   121735.9*
   289     2    2S1 2P2 7G1         (3)4(13.0)   121735.9*
   290     2    2S1 2P2 7G1         (5)5(27.0)   121735.9*
   291     2    2S1 2P2 7G1         (3)5(16.0)   121735.9*
   292     2    2S1 2P2 7F1         (5)2(12.0)   121739.2*
   293     2    2S1 2P2 7F1         (3)2( 7.0)   121739.3*
   294     2    2S1 2P2 7H1         (5)4(22.0)   121740.9*
   295     2    2S1 2P2 7H1         (3)4(13.0)   121740.9*
   296     2    2S1 2P2 7H1         (5)5(27.0)   121740.9*
   297     2    2S1 2P2 7H1         (3)5(16.0)   121740.9*
   298     2    2S1 2P2 7H1         (5)6(32.0)   121740.9*
   299     2    2S1 2P2 7H1         (3)6(19.0)   121740.9*
   300     2    2S1 2P2 7D1         (3)3(10.0)   121742.0*
   301     2    2S1 2P2 7F1         (5)4(22.0)   121742.9*
   302     2    2S1 2P2 7I1         (5)5(27.0)   121743.1*
   303     2    2S1 2P2 7I1         (3)5(16.0)   121743.1*
   304     2    2S1 2P2 7I1         (5)6(32.0)   121743.1*
   305     2    2S1 2P2 7I1         (3)6(19.0)   121743.1*
   306     2    2S1 2P2 7I1         (5)7(37.0)   121743.1*
   307     2    2S1 2P2 7I1         (3)7(22.0)   121743.1*
   308     2    2S1 2P2 7F1         (3)4(13.0)   121743.3*
   309     2    2S1 2P2 7F1         (5)3(17.0)   121754.2*
   310     2    2S1 2P2 7F1         (3)3(10.0)   121754.8*
   311     2    2S1 2P2 7D1         (3)2( 7.0)   121774.2*
   312     2    2S1 2P2 8S1         (3)1( 4.0)   121831.9*
   313     2    2S1 2P2 8P1         (5)2(12.0)   121844.9*
   314     2    2S1 2P2 8P1         (5)1( 7.0)   121859.0*
   315     2    2S1 2P2 8P1         (3)0( 1.0)   121915.8*
   316     2    2S1 2P2 8P1         (3)2( 7.0)   122113.6*
   317     2    2S1 2P2 8P1         (3)1( 4.0)   122157.6*
   318     2    2S1 2P2 8P1         (5)0( 2.0)   122221.1*
   319     2    2S1 2P2 8D1         (5)3(17.0)   122245.4*
   320     2    2S1 2P2 8D1         (5)1( 7.0)   122251.1*
   321     2    2S1 2P2 8D1         (3)1( 4.0)   122251.2*
   322     2    2S1 2P2 8D1         (5)2(12.0)   122262.8*
   323     2    2S1 2P2 8G1         (5)3(17.0)   122264.2*
   324     2    2S1 2P2 8G1         (3)3(10.0)   122264.2*
   325     2    2S1 2P2 8G1         (5)4(22.0)   122264.2*
   326     2    2S1 2P2 8G1         (3)4(13.0)   122264.2*
   327     2    2S1 2P2 8G1         (5)5(27.0)   122264.2*
   328     2    2S1 2P2 8G1         (3)5(16.0)   122264.2*
   329     2    2S1 2P2 8F1         (5)2(12.0)   122266.4*
   330     2    2S1 2P2 8F1         (3)2( 7.0)   122266.4*
   331     2    2S1 2P2 8H1         (5)4(22.0)   122267.5*
   332     2    2S1 2P2 8H1         (3)4(13.0)   122267.5*
   333     2    2S1 2P2 8H1         (5)5(27.0)   122267.5*
   334     2    2S1 2P2 8H1         (3)5(16.0)   122267.5*
   335     2    2S1 2P2 8H1         (5)6(32.0)   122267.5*
   336     2    2S1 2P2 8H1         (3)6(19.0)   122267.5*
   337     2    2S1 2P2 8D1         (3)3(10.0)   122268.3*
   338     2    2S1 2P2 8F1         (5)4(22.0)   122268.8*
   339     2    2S1 2P2 8I1         (5)5(27.0)   122269.0*
   340     2    2S1 2P2 8I1         (3)5(16.0)   122269.0*
   341     2    2S1 2P2 8I1         (5)6(32.0)   122269.0*
   342     2    2S1 2P2 8I1         (3)6(19.0)   122269.0*
   343     2    2S1 2P2 8I1         (5)7(37.0)   122269.0*
